TIME_UNIT	TIME_AGE	meanHYP	no_localities	no_observed	no_taxa	no_alive	no_first	no_peak	no_last
MN02	21.4	1	30	80	14	14	10	5	0
MN03	19	1	64	237	23	24	13	7	2
MN04	17.5	1.007	57	233	32	35	10	4	7
MN05	16.1	1.055	105	552	37	38	3	14	4
MN06	13.85	1.051	64	229	31	37	5	7	2
MN07	11.85	1.051	86	290	37	40	5	5	8
MN09	10.35	1.29	74	303	35	37	5	5	14
MN10	9.25	1.573	23	86	22	28	3	4	2
MN11	8.6	1.437	11	58	26	29	4	6	8
MN12	7.65	1.642	25	90	21	25	5	3	5
MN13	6.2	2.116	25	101	24	25	4	6	7
MN14	4.75	1.776	20	61	19	22	6	3	4
MN15	3.8	1.57	13	50	23	24	3	4	5
MN16	3	1.583	15	74	19	22	1	5	5
MN17	2.28	1.865	15	97	15	18	3	9	7
MQ18	1.54	2.267	5	16	11	14	8	4	2
MQ19	0.08	2.24	77	356	20	20	0	11	20
