TU11	TU10	TU9	TU8	TU7	TU6	TU5	TU4	TU3	TU2	
0	0	0.4	0.25	0.364	0	0	0.222	0.055	0	Cercopithecoides
0.2	0	0	0.25	0.273	0	0.143	0.222	0.273	0.059	Sivatherium
1	1	0.4	0.833	0.455	0.833	0.857	0.519	0.491	0.118	Aepyceros
0.8	1	0.4	0.25	0.545	0.5	0.857	0.667	0.636	0.412	Kobus
0	0.2	1	0.833	0.727	0.333	0.286	0.556	0.6	0.235	Tragelaphus
0	0	0.6	0.333	0.636	0.167	0.429	0.444	0.436	0.176	Giraffa
0	0	0	0.167	0	0	0.143	0.296	0.218	0.059	Connochaetes
0	0	0.6	0.167	0.455	0	0	0	0	0	Simatherium
0	0	0.2	0.083	0.273	0.333	0	0	0.055	0	Parmularius
1	1	1	0.333	0.273	0.333	0.143	0.111	0.036	0	Parapapio
0	0	0.2	0.417	0.727	1	0.429	0.63	0.673	0.176	Theropithecus
0	0	1	0.25	0.727	0.833	0.429	0.222	0.436	0.471	Hippopotamus
0	0.4	0.4	0.417	0.273	0.5	0.429	0.63	0.291	0.412	Gazella
0	0	0	0.167	0.545	0.333	0	0.556	0.345	0.353	Megalotragus
0	0	0.6	0.583	0.818	1	0.857	0.667	0.109	0	Notochoerus
1	1	1	0.583	0.545	0.167	0	0	0	0	Nyanzachoerus
1	0.8	0.2	0.417	0.636	0.833	0.571	0.481	0.455	0.176	Hipparion
0.2	0.2	0.6	0.333	0.636	0.333	0.429	0.333	0.127	0.059	Deinotherium
0	0	0	0.083	0.091	0	0	0.63	0.691	0.471	Equus
0	0	0	0.083	0.455	0	0.714	0.704	0.691	0.412	Kolpochoerus
0	0	0	0.083	0.091	0.167	0.571	0.704	0.764	0.588	Metridiochoerus
0.2	0	0.2	0.167	0	0	0	0	0.055	0	Raphicerus
1	1	0.6	0.083	0	0	0	0.185	0.091	0	Eurygnathohippus
0	0	0.8	0.083	0.273	0.333	0	0.111	0.345	0	Australopithecus
0	0.6	0.6	0.083	0	0	0	0	0	0	Damalacra
0.6	0.6	0.2	0.083	0.091	0	0	0.111	0.055	0.059	Hippotragus
0	0	0.6	0.333	0.455	0.167	0	0.148	0.036	0	Loxodonta
0	0.4	0.6	0.167	0.545	0.667	0.857	0.519	0.309	0.059	Elephas
1	1	0.4	0.333	0.091	0	0	0.296	0.655	0.176	Hexaprotodon
0.4	0.6	0.4	0.167	0.273	0.333	0.143	0.222	0.327	0.118	Ceratotherium
0.4	0.2	0	0.083	0.273	0.333	0	0	0.018	0	Potamochoerus
0	0	0.2	0.167	0.182	0.333	0	0.222	0.018	0	Rhinocolobus
0.4	1	0.4	0	0.273	0.167	0.286	0.148	0.527	0	Damaliscus
0.4	0.4	0.2	0.083	0.455	0	0.286	0.593	0.345	0.118	Menelikia
0	0	0	0	0	0	0	0.074	0.145	0.059	Beatragus
0	0	0	0	0	0	0	0.296	0.327	0.118	Homo
0	0	0	0	0	0	0.143	0.259	0.673	0.235	Pelorovis
0	0	0	0	0	0	0	0	0.2	0	Cercocebus
0	0	0	0	0	0	0	0.037	0.091	0	Colobus
0	0	0	0	0	0	0.286	0.037	0.055	0	Paranthropus
0	0	0	0	0	0.167	0.143	0.111	0.109	0	Oryx
0	0	0	0	0.364	0.167	0.286	0.407	0.345	0	Antidorcas
0	0.8	0.6	0	0.182	0.333	0.143	0.074	0.164	0.059	Diceros
0	0.4	0.2	0	0	0.167	0	0	0.055	0	Madoqua
0	0	0	0	0.182	0.167	0.143	0.111	0	0	Paracolobus
0.2	0.4	0.6	0	0	0	0	0.037	0	0	Anancus
1	0.2	0.2	0	0	0	0	0	0	0	Miotragocerus
0.8	0.4	0.2	0	0	0	0	0	0	0	Stegotetrabelodon
1	1	0.4	0	0	0	0	0	0	0	Brachypotherium
1	0.8	0.2	0	0	0	0	0	0	0	Palaeotragus
0.6	0.6	0	0	0	0.167	0	0	0	0	Tragoportax
0	0	0	0	0.182	0.333	0.286	0.037	0	0	Ugandax
